"nazev","adresa"
"Modrý klíč - základní škola speciální a mateřská škola speciální, o.p.s.","Smolkova 567 , Praha 142 00"
"ARCHA základní škola a mateřská škola při Církvi československé husitské","74 , Petroupim 256 01"
"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.","Šrámkova 432 , Brno 638 00"
"Základní škola sv. Voršily v Praze","Ostrovní 2070 , Praha 110 00"
"Veselá škola - církevní základní škola a základní umělecká škola","Soukenická 1088 , Praha 110 00"
"Základní škola Klíček","Donovalská 1863 , Praha 149 00"
"Základní škola Duhovka, s.r.o.","Nad Kajetánkou 134 , Praha 169 00"
"Bratrská škola - církevní základní škola","Rajská 300 , Praha 170 00"
"Soukromá základní škola UNIVERZUM s.r.o.","Českolipská 373 , Praha 190 00"
"Základní škola Maltézských rytířů","Školská 349 , Kladno 272 01"
"Základní škola Bernarda Bolzana obecně prospěšná společnost","Školní nám. 199 , Tábor 390 01"
"Církevní základní škola ORBIS-PICTUS","Budějovická 825 , Tábor 390 02"
"Soukromá základní škola a mateřská škola Adélka, o.p.s.","5 , Meclov 346 01"
"ZÁKLADNÍ ŠKOLA MARTINA LUTHERA, s.r.o.","Školní náměstí 34 , Plzeň 318 00"
"Soukromá základní škola ELEMENTÁRIA, s.r.o.","Jesenická 1262 , Plzeň 323 00"
"Základní škola Antonína Bratršovského","Saskova 2080 , Jablonec nad Nisou 466 01"
"Křesťanská základní škola a mateřská škola J. A. Komenského","Růžodolská 118 , Liberec 460 01"
"LINGUA UNIVERSAL soukromá základní škola a mateřská škola s.r.o.","Sovova 480 , Litoměřice 412 01"
"Sportovní soukromá základní škola, s.r.o.","Podkrušnohorská 1677 , Litvínov 436 01"
"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov","Koněvova 100 , Krupka 417 42"
"První soukromá základní škola v Hradci Králové, s.r.o.","Vocelova 1334 , Hradec Králové 500 02"
"Základní škola Mozaika, o.p.s. Rychnov nad Kněžnou","U Stadionu 1166 , Rychnov nad Kněžnou 516 01"
"Církevní základní škola Borohrádek","Nádražní 233 , Borohrádek 517 24"
"Základní škola a Mateřská škola Trivium Plus o.p.s.","2 , Dobřany 518 01"
"Soukromá základní škola Lesná s.r.o.","Marie Steyskalové 315 , Brno 616 00"
"Soukromá mateřská škola a základní škola s.r.o.","Rozmarýnová 676 , Brno 637 00"
